Framework,Version,CIS Asset Type,NIST Category,Control ID,Control Description,Custom Mapping Category,Custom Mapping Criteria,Review Req.,Custom Mapping Sub Type,Implementation Market Technologies,Rapid7 Implementation Products (Custom Script),Supporting Market Technologies,Rapid7 Supporting Products (Custom Script),Technical Details,Primary Control Support,Evidence Available,Native R7 Data,3rd Party Data,Type,Implementation Details,Sub-Category,Additional Details,Product API,Delivered
HITRUST i1,11.7.0,,Identify,0316.0,"The organization ensures that employees, contractors, and third-party users agree to terms and conditions concerning information security appropriate to the nature and extent of access they will have to the organizationâ€™s assets associated with information systems and services. The organization develops and documents access agreements for organizational systems. Privileges are not granted until the terms and conditions have been satisfied and agreements have been signed.",,,False,,PT,"Pentesting Services, Vector Command",PT,"Pentesting Services, Vector Command",,,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0305.0,The organization screens individuals requiring access to organizational information before authorizing access.,,,False,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0297.0,"Policies and/or standards related to user roles and responsibilities include: implementing and acting in accordance with the organizationâ€™s information security policies; protecting assets from unauthorized access, disclosure, modification, destruction, or interference; executing particular security processes or activities; ensuring responsibility is assigned to the individual for actions taken; reporting security events or potential events or other security risks to the organization; and security roles and responsibilities are defined and clearly communicated to users and job-candidates during the pre-employment process.",,,True,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,,0001.0,"The organization has a formal information security management program (ISMP) that is documented and addresses the overall security program of the organization. Management support for the ISMP is demonstrated through signed acceptance or approval by management. The ISMP is based on an accepted industry framework, considers all the control objectives of the accepted industry framework, documents any excluded control objectives of the accepted industry framework and the reasons for their exclusion, and is updated at least annually or when there are significant changes in the environment.",,,True,,,,,,,,,,,,,01 Information Protection Program,,,False
HITRUST i1,11.7.0,,Protect,0943.2,"The organization applies a default-deny rule that drops all traffic via host-based firewalls or port filtering tools on its endpoints (workstations, servers, etc.), except those services and ports that are explicitly allowed.",,,False,,"AGW, CM, HIPS","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, insightIDR","AGW, CM, HIPS","Incident Command Advanced, Incident Command Essentials, Incident Command Ultimate, MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, insightIDR","default, filtering",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,,,0896.0,"The organization implements and regularly updates mobile code protection, including anti-virus and anti-spyware.",,,False,,,,,,,,,,,,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,Network,Protect,1989.0,"The organization augments endpoint protection strategies with additional solutionsâ€”including those built into the operating system if availableâ€”to mitigate exploitation of unknown vulnerabilities where traditional antivirus may be ineffective; and where applicable, target the solutions to protect commonly exploited applications (e.g., web browsers, office productivity suites, Java plugins).",,,False,,"AGW, VM","Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Nexpose, insightVM","AGW, VM","Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Ultimate, Vector Command, insightAppSec, insightVM","vulnerabilities, endpoint, antivirus, endpoint, protect",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,Documentation,Protect,0884.0,"The organization configures malicious code and spam protection mechanisms to: perform periodic scans of the information system according to organization guidelines; perform real-time scans of files from external sources at endpoints and network entry/exit points as the files are downloaded, opened, or executed in accordance with organizational security policy; and block malicious code, quarantine malicious code, or send alerts to an administrator in response to malicious code detection.",,,False,,"AGW, CNAPP","Exposure Command Ultimate, insightCloudSec","AGW, CNAPP","Exposure Command Ultimate, insightCloudSec","quarantine, detection, detection, network, policy",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,Network,Protect,0880.0,"Centrally managed spam protection mechanisms are employed at information system entry and exit points, workstations, servers, and mobile computing devices on the network. Spam protection mechanisms detect and take action on unsolicited messages transported by electronic mail, transported by electronic mail attachments, transported by Web accesses, transported by other common means, and inserted through the exploitation of information system vulnerabilities. Malicious code and spam protection mechanisms are centrally managed and updated when new releases are made available in accordance with the organizationâ€™s configuration management policy and procedures.",,,False,,VM,"Exposure Command Advanced, Exposure Command Essentials, Exposure Command Ultimate, Managed Threat Complete, Nexpose, insightVM",VM,"Exposure Command, Exposure Command Advanced, Exposure Command Essentials, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate, Nexpose, Ultimate, Vector Command, insightAppSec, insightVM","vulnerabilities, configuration, network, policy",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,Documentation,Identify,0873.0,"Technologies are implemented for the timely installation of anti-malware protective measures, timely upgrade of anti-malware protective measures, and regular updating anti-malware protective measures, automatically whenever updates are available. Periodic reviews/scans are required of the installed software and the data content of systems to identify and, where possible, remove any unauthorized software. The organization employs anti-malware software that offers a centralized infrastructure that compiles information on file reputations or have administrators manually push updates to all machines. After applying a malicious code detection and repair software update, automated systems verify that each system has received its signature update. The checks carried out by the malicious code detection and repair software to scan computers and media include checking: any files on electronic or optical media, and files received over networks, for malicious code before use; and electronic mail attachments and downloads for malicious code before use or file types that are unnecessary for the organizationâ€™s business before use; Web traffic, such as HTML, JavaScript, and HTTP, for malicious code; removable media (e.g., USB tokens and hard drives, CDs/DVDs, external serial advanced technology attachment devices) when inserted. The check of electronic mail attachments and downloads for malicious code is carried out at different places (e.g., at electronic mail servers, desktop computers, and when entering the network of the organization). Bring your own device (BYOD) users are required to use anti-malware software (where supported). Server environments for which the server software developer specifically recommends not installing host-based anti-virus and anti-spyware software are addressed via a network-based malware detection (NBMD) solution.",,,True,,"CNAPP, TIP","Exposure Command Ultimate, Intelligence Hub, Threat Command, insightCloudSec","CNAPP, TIP","Exposure Command Ultimate, Intelligence Hub, Threat Command, insightCloudSec","scan, http, detection, detection, malware, network",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,,Protect,0110.0,"All users are made aware of: the security requirements and procedures for protecting unattended equipment; their responsibilities for terminating active sessions when finished, unless they can be secured by an appropriate locking mechanism (e.g., a password protected screen saver); their responsibilities for logging-off mainframe computers, servers, and office PCs when the session is finished (e.g., not just switch off the PC screen or terminal); and their responsibilities for securing PCs or terminals from unauthorized use by a key lock or an equivalent control (e.g., password access) when not in use.",,,False,,MDR,"MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate",MDR,"MDR, Managed Threat Complete, Managed Threat Complete Advanced, Managed Threat Completed Ultimate","password, logging, session, key, logging",,Evidence logs/reports available via Rapid7 Cloud Platform APIs.,Yes,No,Control Met,,02 Endpoint Protection,,,False
HITRUST i1,11.7.0,,,1002.0,"The organization restricts the use of writable, removable media and personally owned, removable media in organizational systems.",,,False,,,,,,,,,,,,,03 Portable Media Security,,,False
